国家,行政区名称,Alpha,Beta,Sigma_km,"Corr(Y, λ)",p_value,显著
Palestine,Kermanshah,0.04217120985228843,0.01,150.0009931294254,0.03703819271122361,0.12353384334543516,
Syria,Talkalakh,0.04125817460917764,0.01,150.0044600487318,0.09178605508897286,0.04337559146630493,✓
Lebanon,Minieh-Danieh,0.04124339602545233,0.01,150.003939097343,0.10037565751294085,0.03921774458527261,✓
Lebanon,Zgharta,0.03303494356109892,0.20858670538475862,150.00391225490134,0.19143634148324182,0.011364987591713893,✓
Lebanon,Rachiaya,0.031842384102534364,0.8580165298283353,150.00090377906088,0.23784771284333953,6.0888759436494855e-05,✓
Yemen,Bajil,0.031123496346946534,0.6540730594131753,149.9999281461385,0.03154662430173371,0.2373252078819072,
Yemen,Al Malagim,0.02879530033900573,0.01,149.99719939484976,0.048577297054947136,0.1182591043075586,
Yemen,Radman Al Awad,0.028744811606799384,0.01,149.99728589341595,0.03590863418339123,0.1656325124451985,
Lebanon,Batroun,0.02746725992959514,0.01,150.00437975455236,0.12778428559702407,0.04004236379612802,✓
Yemen,Harad,0.022338497166011557,0.6159607818254463,149.99792860074126,0.037051066297860744,0.1371907551887327,
Israel,Jerusalem,0.02228961939396451,0.6792960688537268,150.00005858312812,-0.02602033374589296,0.5,
Yemen,Ghamr,0.022193074559413363,0.7462342451010602,149.99815989721915,0.02055238602873256,0.1484392792752715,
Palestine,Nablus,0.02192978933010026,0.6922359365939199,150.00000570375667,-0.029336313439920225,0.5,
Palestine,Jericho,0.020802918606397842,0.25132337158389895,150.00214956999034,0.11629713595975316,0.029418023564665607,✓
Yemen,Al Maton,0.02033454644827754,0.5684597800638256,149.99893908195966,0.03535823708137796,0.2244107374684532,
Yemen,Al Mashannah,0.019771308281501903,0.3203407386021194,149.99747821181793,0.07504830818903248,0.08923641584622799,
Yemen,Al Musaymir,0.019338181324517013,0.8088817578054154,149.9995572751962,0.08283149716071819,0.07472172649784564,
Palestine,Tulkarm,0.0193076690799251,0.6899148095315009,150.0000059072687,0.005621286164581114,0.4240222940043987,
Yemen,Mawiyah,0.01915847893189478,0.3409938226042151,149.99686106789335,0.0900909780926906,0.09003629218791659,
Yemen,As Silw,0.01785373705049303,0.6948399893810207,149.99765632527573,0.029855817249144694,0.12940223321156608,
Yemen,Al Hawak,0.017583909358962167,0.6847090039410744,149.9999786169982,0.015073102506325951,0.3542143770934601,
Syria,Hims,0.015696671085609543,0.9605601387609174,150.00008203762107,0.1117097207216038,0.001521800406495688,✓
