国家,行政区名称,Alpha,Beta,"Corr(Y, λ)",P值,显著,事件总数
Syria,Baniyas,0.24809450498782493,0.523682870091254,0.33078429050663627,2.7531167900995968e-09,✓,16
Yemen,Harad,0.245089774705477,1e-06,0.24507382499615532,0.008955925382276131,✓,4
Yemen,Al Jubah,0.24502752703672706,1e-06,0.2450738249961557,0.008955945238006247,✓,4
Yemen,Kitaf wa Al Boqe'e,0.23964247183987586,0.7368715852059768,0.5109747491893911,1e-10,✓,26
Palestine,Rafah,0.2390774353584798,0.7182208051311028,0.6680701696608045,1e-10,✓,2106
Yemen,As Sabain,0.23328184897371168,0.05504981401881498,0.12049682993710314,1.1377183593785922e-05,✓,30
Syria,'Ayn al-'Arab,0.22697093850789377,0.7532867990118701,0.7021516938387028,1e-10,✓,414
Israel,HaZafon,0.22370057515572336,0.6744885595597933,0.7694921508055171,1e-10,✓,2976
Yemen,Mawza,0.21455890740879216,0.14789330041679252,0.18471038547634128,0.019756733813762917,✓,5
Syria,Jabal Sam'an,0.20628851355462102,0.7797638708618867,0.6172320661230273,1e-10,✓,1353
Syria,Idlib,0.20579098587689895,0.7425813946993001,0.43318361450049925,1e-10,✓,721
Lebanon,Aley,0.20286402203294787,0.7799089573180119,0.5206352002820973,1e-10,✓,48
Yemen,Al Mudhaffar,0.1998074364215799,1e-06,0.21925046072346618,0.0001732651551700215,✓,26
Lebanon,Baalbeck,0.1910345294998929,0.7915378898842008,0.6839282070182148,1e-10,✓,697
Yemen,Bart Al Anan,0.18713437445941275,0.7016506726504846,0.35804926049794034,1.960095844738552e-05,✓,6
Lebanon,Hermel,0.18605937316960353,0.790203704386243,0.4661831335594656,1e-10,✓,114
Syria,As-Sanamayn,0.18595942773165072,1e-06,0.2317032467038604,9.000315095930578e-06,✓,47
Syria,Ma'arrat al-Numan,0.18548689162252147,0.6661604198527683,0.41262746710185516,1e-10,✓,585
Syria,Arihah,0.18538229804273879,0.7935260966760788,0.4902248270845261,1e-10,✓,912
Syria,Latakia,0.18032246010687894,0.6751957686823516,0.2931530428744355,1e-10,✓,214
Yemen,Kamaran,0.1764161189812267,0.7691371759426107,0.5093138017552499,1e-10,✓,19
Yemen,Al Khawkhah,0.17613682672534833,0.3228731988388592,0.15623246701100346,0.006989245310941472,✓,7
Syria,Ar-Rastan,0.17404829471267877,0.5910601603746958,0.2268729178527725,2.3997559695509985e-06,✓,16
Yemen,Sanhan,0.17248573210704485,0.784602996889082,0.30413632859975,1e-10,✓,31
Syria,Hims,0.17183434287706187,0.25129739127725703,0.09238625116078912,8.476929281897583e-05,✓,55
Syria,Jarabulus,0.17179571149154804,0.44224814939870194,0.2231436050803675,4.465176006718252e-10,✓,170
Yemen,Sa'adah,0.17096037908669826,0.7599489240149321,0.3776545325134123,1e-10,✓,29
Yemen,Washhah,0.16281792762760766,0.6670228223253037,0.14024810475726818,0.013402786449088155,✓,2
Yemen,Al Bayda,0.16281791175264826,0.6670228536071952,0.1402481104563559,0.013402771638506839,✓,2
