区ID,区名称,州名称,Alpha,Beta,"Corr(Y, λ)",P值,显著,事件总数
141,n.a. ( 394),Donets'k,0.10344372669550518,0.8656810398187551,0.5215370861242896,1e-10,True,481
626,Zhytomyrs'ka,Zhytomyr,0.10138627947849199,0.5982677840583042,0.16761096891693814,4.268847622390659e-06,True,56
361,Rubezhans'ka,Luhans'k,0.10098370680602177,0.8817860785908876,0.4377274156531721,1e-10,True,79
99,Pavlograd,Dnipropetrovs'k,0.10022678215800127,0.499965780950541,0.13263133821920078,0.00019899084742269757,True,54
403,Izma‹l's'ka,Odessa,0.10008887429724132,0.500021279573061,0.1365207052042622,0.0008244587565603978,True,23
63,Chornomors'kyi,Crimea,0.1000335514258218,0.5000035624087913,0.10618344545362693,0.001994956830983108,True,21
509,Ternopil's'ka,Ternopil',0.10001683497092621,0.5000058283493594,0.12195771076061657,0.0014041458119863348,True,20
372,Bashtans'kyi,Mykolayiv,0.09919622574356078,0.8530578615225795,0.5190374980884029,1e-10,True,133
24,Bakhmats'kyi,Chernihiv,0.09765374804121509,0.48793319957208464,0.09354583401758655,0.007893680143948756,True,13
206,Velykoburluts'kyi,Kharkiv,0.09676200168932218,0.8956331404214019,0.5133783118369345,1e-10,True,523
129,Kostiantynivs'kyi,Donets'k,0.09563017621041242,0.8994386852292658,0.6124683042581874,1e-10,True,1790
195,Kupians'ka,Kharkiv,0.09430781825117235,0.9026447549466105,0.4897499128107413,1e-10,True,761
381,Mykola‹vs'kyi,Mykolayiv,0.09422919979446488,0.5739029651454794,0.10628872594562545,0.0003570276424163521,True,37
123,Iasynuvats'ka,Donets'k,0.0941779828531687,0.9020572298895697,0.7288110226155013,1e-10,True,977
159,Volnovas'kyi,Donets'k,0.09381864950356267,0.9008339159361408,0.621905914373473,1e-10,True,1468
22,Zolotonis'kyi,Cherkasy,0.0926018588984998,1e-06,0.09245597712455338,0.03618170017406569,True,10
191,Kharkivs'ka,Kharkiv,0.09235792527509272,0.8899991430300832,0.5498032434046121,1e-10,True,640
492,Sums'ka,Sumy,0.09129254394375806,0.8902546827501485,0.4225823793057117,1e-10,True,195
150,Shakhtars'ka,Donets'k,0.09125145324228533,0.7769867389614358,0.1310659324616597,0.00018519178097664568,True,14
230,Vysokopil's'kyi,Kherson,0.09099982780835951,0.8917790954783443,0.6174760787308424,1e-10,True,567
95,Nikopol's'kyi,Dnipropetrovs'k,0.09084363385306764,0.9058181937887365,0.5906268291645616,1e-10,True,1524
494,Trostianets'kyi,Sumy,0.0904470491119272,0.8821627606456897,0.2541859460915661,1e-10,True,42
