区名称,州名称,Alpha,Beta,Sigma_km,"Corr(Y, λ)",p_value,显著
Velykobilozers'kyi,Zaporizhia,0.019134538030834407,0.01,150.00133819028093,0.01995696518504804,0.23824048687629806,
Berdians'ka,Zaporizhia,0.01902396727616037,0.9103750133815461,150.0000160122183,0.0391286585851183,0.11070572723012373,
Feodosiis'ka,Crimea,0.017556649652298695,0.4837479096229572,150.00035940384535,0.006423836933172498,0.33995701500359454,
Rozdil'nias'kyi,Odessa,0.01669789732499175,0.12408899367527691,149.99944133644627,0.009677856861040918,0.3151063697150074,
Tsiurupyns'kyi,Kherson,0.016617431920629932,0.99,149.9996477537252,0.17956024094699288,0.0,✓
Novomykola‹vs'kyi,Zaporizhia,0.016445030207617325,0.9147406649932239,150.0042711600766,0.07008178764478887,0.012207347436844762,✓
Dnipropetrovs'kyi,Dnipropetrovs'k,0.01561254898678457,0.5358173591468962,150.0002942637122,0.03285568048603543,0.18288702422432968,
Nedryhailivs'kyi,Sumy,0.01452268605026262,0.8868881381567575,149.9987305985789,0.07766406692705416,0.009045144916669468,✓
?,?,0.014505142501812257,0.6572164637890903,149.99997126947872,0.011258086392102655,0.35251892056748435,
Khmel'nyts'kyi,Khmel'nyts'kyy,0.014470953447902484,0.01,149.99776637369845,0.068722654501818,0.08287962462564535,
Kuibyshevs'kyi,Zaporizhia,0.014383097507793324,0.9423286543272608,150.00061008642828,0.13502597352271317,6.90269198806992e-05,✓
Berezivs'kyi,Odessa,0.014353371144920806,0.01,149.9995501084912,0.013257776877911723,0.2665754477050728,
Kehychivs'kyi,Kharkiv,0.014303366598563556,0.01,150.00190878500516,0.04118581600262169,0.14497142051427908,
Ivano-Frankivs'ka,Ivano-Frankivs'k,0.014227370944885413,0.6220651821795345,149.99993016154514,-0.10143174113971597,0.5,
Volodars'kyi,Donets'k,0.013833874315511105,0.9395179231196371,150.0002007072681,0.044288939248741,0.04802384177913943,✓
Domanivs'kyi,Mykolayiv,0.013755720910416108,0.05267983694746377,149.9995799347212,0.028748297062299862,0.17437528174253836,
Slovianoserbs'kyi,Luhans'k,0.01250776878134246,0.6716451542200924,150.00004091554297,-0.04387437754874702,0.5,
Krasnodons'ka,Luhans'k,0.012387146403861089,0.38065865329010945,150.00118735519055,0.01962734689792137,0.21628084808219944,
Vasyl'kivs'kyi,Dnipropetrovs'k,0.012248295106183926,0.579889137375189,150.00185469379375,0.06041760367731724,0.07051956183531927,
Obolons'kyi,Kiev City,0.011498758820767268,0.6300004887882201,149.99994219017572,0.01997481845760171,0.3184934833354691,
Saks'kyi,Crimea,0.010669109154235204,0.6621643495700142,150.0000193048413,-0.016136889199079036,0.5,
Lubens'ka,Poltava,0.010497321446842123,0.47464275479164963,150.0001117639417,0.019418006014826995,0.263321436207928,
Zhovkivs'kyi,L'viv,0.009568749586578005,0.01,149.99710284821958,0.03636008185468776,0.1792026843541597,
Kolomyis'kyi,Ivano-Frankivs'k,0.009553439711055245,0.017212513599174185,149.99738371131266,0.04731548918998788,0.14294342145173117,
Bobrynets'kyi,Kirovohrad,0.009523577136752394,0.01,150.00007560383563,0.04666562135094494,0.1443399364834782,
Bolhrads'kyi,Odessa,0.009514217866105273,0.01,149.99888968818857,0.012295418018651149,0.24887071616267709,
Znamians'kyi,Kirovohrad,0.009485595959367973,0.01,150.00026773615176,0.01821596979581497,0.24581160389349177,
Tsarychans'kyi,Dnipropetrovs'k,0.009477840085149517,0.01,150.00131643405248,0.037660715835924785,0.18234727000328482,
Bilovods'kyi,Luhans'k,0.009436698687861768,0.01,150.00265970831686,0.021589503601754337,0.22913643679502332,
Novokahovs'ka,Kherson,0.00929803296827927,0.9511459526047178,150.00053196133476,0.033733175743203406,0.015691621029074287,✓
Petrivs'kyi,Kirovohrad,0.009265080959592447,0.032700652465375395,150.00066711620616,0.024029348274431987,0.2196962613493747,
Bilohirs'kyi,Crimea,0.009255590387902395,0.029787210041015935,150.00105972383102,0.004381846812517316,0.36820467275602925,
Simferopol's'kyi,Crimea,0.009245016709259243,0.6524008959138923,150.00005227262358,0.007426185654309198,0.37309031876494747,
Umans'kyi,Cherkasy,0.008535436793950954,0.11691957320551007,149.9991709856561,0.06961396521174237,0.10770829360863354,
Dzhankois'kyi,Crimea,0.008324253064907213,0.9428444900188236,150.00389072967482,0.059758043368494176,0.01335683540880045,✓
Voznesens'ka,Mykolayiv,0.008309580361786861,0.7022017950277702,149.99999344777265,0.01285386851797271,0.37450864873989376,
Solonians'kyi,Dnipropetrovs'k,0.008183414890554852,0.5852679066991857,150.00019411201728,0.017630692466642926,0.32392111745787633,
Saks'ka,Crimea,0.00786845609338496,0.6820154226876887,150.00025821622825,-0.003602846224737417,0.5,
Nizhyns'kyi,Chernihiv,0.007213453247140944,0.5469160408311207,149.9999562911883,0.026954033174173653,0.2953090994915446,
Svitlovods'kyi,Kirovohrad,0.006513642092024959,0.665072866979345,150.00055417624137,0.046438003126814,0.12963319620691555,
Letychivs'kyi,Khmel'nyts'kyy,0.006412256713245773,0.33867091400415616,149.99807427270318,0.07805579761817222,0.10394772461580143,
Kakhovs'kyi,Kherson,0.005992370702887625,0.9398249197072204,150.0012578289813,0.05626429984324452,0.022974960930149668,✓
Chaplyns'kyi,Kherson,0.005839167827978316,0.6858986559938307,150.00000557923966,-0.0019428529707398922,0.5,
Krasnoluts'ka,Luhans'k,0.005678454352102444,0.7049983493178338,150.0004296591498,0.0029229159309711373,0.5,
Snizhnens'ka,Donets'k,0.005298811552162116,0.5808926486109492,150.0004192464186,0.010046303323093064,0.37778972117427956,
Kovel's'ka,Volyn,0.005125386546822029,0.4157726833250906,149.99902034188847,0.007442797097125871,0.38839855465257667,
Pavlograd,Dnipropetrovs'k,0.005051456794875548,0.6871765706132891,150.00000868929993,0.004132430250509862,0.45220905604649003,
Novhorodkivs'kyi,Kirovohrad,0.004751194672224419,0.037551283201595446,150.0003725409664,0.04617263044037137,0.19763629803972355,
Krasylivs'kyi,Khmel'nyts'kyy,0.004719206150851436,0.01,149.99755804323803,0.05692330246940537,0.17491884542978153,
Korostyshivs'kyi,Zhytomyr,0.004710673717361137,0.01,149.9984160719139,0.056929897345929854,0.17491713088950928,
Bilotserkivs'kyi,Kiev,0.004706141084659296,0.01,149.99887404506265,0.0569082103213386,0.1749453279533254,
Chernivets'ka,Chernivtsi,0.004697125191958234,0.01,149.99734550714118,0.038324482181177996,0.21401059344525802,
Berdychivs'kyi,Zhytomyr,0.004695863608592265,0.01,149.99819213364654,0.04244253393425572,0.20390053649392753,
Man'kivs'kyi,Cherkasy,0.004684636380254205,0.01,149.998968020505,0.03990773869649246,0.20999638422180383,
Dobrovelychkivs'kyi,Kirovohrad,0.004683772357556885,0.01,149.99947260357013,0.04306681244091533,0.20241758492422512,
Pidhaiets'kyi,Ternopil',0.004666361112779692,0.01,149.9970530242318,0.0177777986446526,0.2870313540017058,
